FemaleFrequency,MaleFrequency
37,165
15,55
11,46
180,1051
7,32
314,990
0,6
15,18
2,19
95,566
10,11
50,122
5,28
7,12
16,73
1,8
111,424
10,59
15,98
3,19
6,7
0,11
34,162
84,451
1,6
0,8
95,416
92,162
0,6
44,139
0,8
0,47
1,6
7,19
5,8
327,1137
5,25
321,1229
276,1256
3,8
0,13
0,6
14,81
8,27
0,6
29,138
1,6
0,6
0,7
0,9
8,38
0,9
0,7
4,20
0,14
44,258
129,466
2,37
2480,11269
20,146
24,108
0,9
636,2414
0,11
0,10
10,50
7,26
102,535
3,16
0,6
8,47
26,74
25,55
0,8
0,6
0,6
0,42
160,769
13,12
1,12
4,13
21,18
16,10
0,11
2,36
24,43
0,7
132,814
201,1197
8,29
2,10
830,4058
289,1369
0,22
0,11
15,85
4,24
0,6
69,317
477,1946
0,10
0,6
50,118
13,77
2,12
0,9
0,6
0,8
0,7
2,10
74,303
0,12
5,10
0,10
0,6
4,23
0,8
8,44
2,14
3,17
0,11
86,132
0,8
241,1191
0,12
2,22
141,698
0,7
0,6
13,58
88,470
0,8
3,25
7,42
0,25
8,18
507,1302
25,15
12,91
15,69
4,19
0,12
6,28
0,6
0,8
2,25
0,9
1,10
5,12
0,15
11,24
4,51
3,32
12,34
1,6
1013,4030
28,31
0,18
2,6
23,47
124,531
5,62
15,46
98,478
2,8
0,9
31,68
79,439
4,10
7,24
3,26
50,256
0,9
0,10
16,66
9,27
0,18
16,22
376,1855
5,17
0,10
154,529
5,55
4,41
1240,5478
4,19
1,7
38,58
117,407
0,12
10,19
0,13
1,10
8,20
0,26
0,6
4,11
0,7
0,36
3,12
5,20
6,44
15,109
0,15
71,128
3,28
54,53
4,23
0,16
2,8
1,8
0,6
1,7
244,307
32,93
13,72
2,6
0,10
2,21
0,14
2,11
2,9
76,214
0,38
0,11
16,11
13,11
575,2055
0,11
0,21
3,20
1168,3326
725,2272
0,12
0,10
15,173
5,32
13,15
0,12
0,7
6,34
28,159
5,31
4,26
88,350
0,6
7,53
1,7
12,77
4,29
4,11
0,12
6,43
0,9
5,15
8,54
2,43
2,45
0,9
0,12
16,31
2,7
0,12
207,882
16,120
1,6
0,6
2303,11095
11,28
0,16
2,26
48,200
1,31
1502,6837
1,15
0,8
3,13
0,10
4,26
0,14
1,20
6,33
0,15
2,27
100,280
8,39
3,7
6,8
10,107
0,11
9,26
13,69
0,23
130,808
51,204
1,19
0,6
1,13
0,31
71,416
84,413
1,20
0,8
26,88
6,14
6,13
4,17
6,9
6,19
6,26
9,56
0,10
11,36
3,10
0,30
1,22
212,899
2,15
22,57
19,27
31,176
0,8
5,9
16,15
0,7
0,8
201,738
1,23
1,15
0,6
12,12
174,1002
0,8
0,6
63,356
4,15
327,663
1,6
46,121
0,23
0,13
4,62
53,323
1,7
530,2606
0,11
472,2431
0,9
1,88
0,6
16,11
26,20
2,14
4,10
2,41
99,510
9,54
9,16
1,15
3,13
0,9
2,17
0,32
4,59
26,56
0,9
65,683
24,150
4,14
0,10
0,6
1,14
261,1524
32,338
2,15
0,9
270,1129
0,8
17,120
5,16
119,751
42,169
10,17
0,9
3,13
10,37
63,454
2,11
0,20
43,67
177,831
10,89
19,91
47,160
337,1790
7,7
28,78
0,6
0,6
10,51
0,9
0,16
5,36
7,39
0,6
0,9
0,6
1,11
0,12
0,6
6,8
4,24
0,8
9,63
0,10
0,8
61,299
0,8
351,1013
1,7
0,9
0,8
1,9
140,483
54,400
4,30
585,3066
7,34
655,3365
2,7
0,9
13,46
52,366
0,8
144,589
25,119
1,18
4,12
13,12
93,573
0,9
24,65
0,7
94,251
0,18
10,53
7,30
0,7
3,6
11,86
16,16
320,1087
55,126
218,634
2,16
0,11
4,10
292,1215
266,1266
0,16
0,9
3,40
0,9
13,33
1,27
3,37
9,27
95,382
0,13
2,28
16,57
24,113
1702,6545
2,14
1,14
0,8
101,597
0,9
0,18
0,6
4,8
295,1369
6,15
5,13
5,72
6,17
0,10
1,13
2,13
1,19
15,13
187,805
29,104
0,6
3,6
0,28
58,174
1,35
0,6
31,121
233,1083
4,9
0,6
4,51
228,1064
59,240
0,7
3,7
13,32
0,8
114,708
41,127
15,50
466,1285
66,136
4,14
0,67
5,27
0,7
2,10
2,25
20,143
4,21
23,137
3,6
0,18
27,159
13,42
0,8
2,71
0,12
59,368
1430,7185
0,9
0,19
5,28
0,7
0,42
6,40
1,12
2,13
174,822
0,6
8,25
268,638
4,16
127,734
0,18
16,14
18,63
0,6
4,31
8,15
2,29
3,7
3,59
6,12
1,10
12,78
13,46
304,1757
2,9
3,13
86,448
4,8
17,116
0,6
4,7
60,406
22,30
2,6
2,8
89,569
0,10
13,112
103,476
92,225
13,147
27,149
0,10
0,8
0,9
4,27
0,7
0,10
128,504
0,7
4,52
110,265
2,6
3,21
176,576
3,11
120,288
0,8
1,21
0,25
36,65
158,823
1,10
165,769
16,12
1,6
11,27
0,10
23,55
11,16
0,15
0,12
61,252
23,150
5,7
0,19
5,8
183,720
3,15
37,134
0,12
311,818
20,56
0,7
2,10
7,6
193,726
1,12
3,30
0,12
0,7
181,1108
17,46
3,11
225,768
179,537
3,6
61,365
0,14
0,8
2,20
1,12
50,172
4,8
15,78
762,3070
2,22
0,20
18,165
0,10
0,6
4,70
0,17
3,16
74,411
0,6
18,90
180,760
5,102
2,20
1,7
0,11
5,17
84,228
22,36
7,23
0,9
1,14
6,16
40,24
1,6
0,6
0,6
0,8
1,27
61,297
0,10
11,20
42,220
1,11
14,54
140,886
2,45
8,28
16,68
4,33
162,1114
0,10
0,10
1,10
87,380
8,13
4,6
4,28
361,947
37,180
4,11
0,55
13,87
0,28
0,9
0,6
13,39
80,395
2,15
2,7
7,13
17,37
2,14
0,9
654,2870
0,8
0,9
0,7
9,31
0,22
979,4459
0,8
107,1044
181,819
8,40
0,7
43,47
5,13
0,7
0,7
176,559
9,45
1,9
20,58
10,27
0,9
48,165
0,8
30,9
0,7
44,274
441,1819
14,16
0,17
53,308
8,9
9,17
0,18
136,729
0,11
20,52
6,7
9,26
2,16
0,6
110,407
72,275
6,45
0,10
5,11
9,24
82,358
2,7
29,54
1,16
9,28
26,61
9,39
4,11
0,7
3,51
3,10
23,224
342,942
0,19
53,396
0,8
7,32
0,10
14,163
1,14
1,39
0,10
8,14
0,26
19,86
0,9
12,6
10,14
120,505
118,421
0,6
8,50
0,6
12,72
133,983
1,8
0,12
8,49
586,3339
1,15
7,40
0,6
0,7
19,23
711,2882
7,23
0,31
0,12
1,18
10,34
0,6
0,6
2,8
0,10
11,62
93,359
0,8
0,7
6,45
14,24
46,373
0,7
0,9
27,128
39,169
123,183
7,53
12,22
2,48
0,7
55,247
0,7
1,16
18,74
6,6
14,133
0,10
58,131
2,9
0,15
47,169
48,115
3,20
3,27
6,32
0,8
12,94
2,8
157,359
6,10
0,6
0,6
27,70
0,13
118,372
1,27
22,76
0,13
336,1383
10,26
113,573
0,13
853,3069
16,115
0,30
0,14
0,18
26,110
27,34
3,14
0,6
1,36
1143,6806
0,7
4,22
624,2872
2,34
1481,6182
30,174
3,7
0,6
4,14
0,6
0,8
44,66
1,8
218,1120
0,10
5,12
31,170
14,53
0,6
0,6
0,13
0,6
71,340
25,88
81,497
0,13
0,6
0,16
0,7
442,1449
0,6
0,8
15,116
0,7
4,20
5,26
0,6
347,1953
287,1631
4,8
48,308
4,23
0,6
1,9
0,6
0,6
3,60
28,118
23,100
9,6
2,19
181,592
150,559
0,19
2,8
63,301
2,6
1,18
4,7
1,16
0,6
572,1922
5,13
106,718
0,10
34,171
9,46
8,61
3,7
11,68
15,30
8,35
652,3109
0,23
14,100
13,79
2,10
58,203
0,14
7,25
0,9
3,10
12,90
98,354
20,171
0,29
9,128
6,21
0,6
14,92
0,9
0,21
8,51
105,599
2,13
0,6
5,20
2,12
87,348
0,6
0,7
0,9
16,9
134,478
1,13
0,7
0,7
15,155
5,27
7,13
10,56
7,8
6,53
20,28
0,6
18,44
0,6
0,6
0,10
0,10
151,695
28,379
44,335
30,106
58,154
4,13
7,9
11,211
10,24
2,29
12,9
15,82
0,6
9,29
4,9
4,6
1,11
0,8
1,11
47,113
68,238
27,154
2,51
4,26
4,12
159,406
0,6
0,6
14,77
2,20
1,11
82,409
344,976
0,9
0,20
0,7
0,10
4,60
4,30
97,430
0,7
53,43
5,19
37,186
0,18
0,6
18,59
0,11
0,6
0,9
6,22
0,6
0,6
9,125
0,12
18,99
12,25
20,44
36,111
40,145
28,35
0,12
13,62
1,12
3,9
404,1567
4,30
0,14
0,19
9,96
13,40
21,93
2,7
0,8
8,16
0,41
52,117
2,23
2,14
0,49
1,19
0,6
4,10
16,45
0,18
15,89
2,36
15,52
1,8
4,28
3,59
0,34
0,16
74,323
9,37
20,101
0,19
28,166
58,118
14,24
11,95
13,67
0,6
453,1698
353,1391
114,531
0,7
0,6
0,10
31,253
48,228
13,73
83,366
0,8
10,76
258,1210
0,6
0,16
5,46
0,9
706,2798
7,11
0,8
385,1382
11,25
0,7
0,7
4,9
4,7
3,7
0,9
107,299
0,9
382,1948
0,33
9,35
6,14
0,17
73,401
0,8
7,14
0,9
0,51
19,36
11,38
0,7
0,12
3,13
0,7
36,8
107,367
0,13
6,21
4,22
71,46
8,27
35,111
0,6
2,60
7,12
0,33
0,10
3,21
2,19
23,82
20,130
2,14
0,25
58,246
30,164
2,39
5,17
18,53
261,542
481,2101
1,77
7,40
6,9
12,47
85,407
0,6
0,27
3,10
120,685
0,15
0,6
1,19
6,6
67,207
0,7
0,6
5,26
156,975
654,3580
15,16
84,284
1,6
20,83
11,68
19,102
11,23
0,6
0,9
5,16
9,17
0,8
108,483
7,94
0,28
2,24
373,1742
0,7
107,472
17,28
102,481
8,9
95,471
1,9
17,15
1,13
0,9
0,6
1,49
6,43
30,140
3036,13565
818,1792
366,2197
63,272
4,78
57,413
23,196
623,2812
4,16
0,7
108,492
0,6
0,6
370,1449
9,23
8,16
7,6
19,40
0,10
58,315
0,6
2,10
0,22
1334,4142
30,164
50,199
5,37
0,6
0,21
3,9
14,90
0,11
138,660
16,75
64,249
7,33
0,32
225,1119
0,17
9,50
951,4128
156,708
7,15
6,8
51,323
0,6
0,23
2,7
12,31
6,22
3,44
1,9
16,157
0,19
5,13
2,7
1,9
0,6
0,8
121,686
7,15
3,7
0,19
14,138
0,13
38,115
27,107
0,13
0,8
0,9
0,6
0,9
30,96
5,59
38,111
2,6
500,1754
21,14
0,8
8,110
2,73
2,9
0,36
4,7
51,176
0,30
0,7
2,80
0,7
0,12
3,7
0,10
5,15
14,15
3,19
0,6
2,41
5,20
55,300
16,182
0,9
55,230
0,11
45,203
0,12
68,323
2,37
25,79
0,6
312,1468
4,11
0,6
53,311
175,554
40,215
5,31
2,8
0,11
929,3538
0,21
0,6
100,548
0,6
0,17
4,20
17,29
0,6
0,6
7,21
30,129
71,84
4,8
0,8
0,7
6,52
0,11
2,14
1,7
3,7
6,26
0,45
1,12
1,17
2,23
0,34
587,2565
0,12
8,71
283,919
16,121
0,8
77,295
16,12
1646,5785
0,8
1,10
3,23
1,9
692,2087
920,3377
4,9
11,10
94,337
1,11
38,198
0,17
144,1142
450,3199
4,24
0,6
1,13
27,124
0,6
2,18
42,287
11,10
5,8
0,9
13,73
4,9
510,2376
0,8
7,22
2,21
511,1594
53,175
0,10
0,8
0,6
15,56
69,183
9,53
0,8
1,25
41,75
0,23
0,6
144,567
41,101
0,9
4,14
60,247
2,19
5,25
0,6
26,29
7,57
3,7
0,11
25,121
3,8
39,133
8,35
81,359
0,8
1,7
45,162
31,167
1,12
0,9
5,21
0,12
0,6
1,14
2,31
39,101
0,7
4,15
242,1084
0,6
40,102
26,44
0,45
4,55
4,10
0,22
0,13
0,7
27,205
0,8
2,6
0,8
32,133
7,13
328,1547
2,20
38,124
2,16
926,4352
0,15
0,10
0,9
43,229
96,464
4,24
95,424
1,9
0,6
2,9
21,50
1,6
7,18
0,6
39,283
49,177
0,6
0,6
4670,18755
0,14
0,7
71,209
2,13
0,8
6,11
8,115
0,6
0,10
5726,25020
134,795
23,121
31,199
0,10
55,222
0,7
1,8
137,648
15,18
280,1047
24,13
0,10
0,6
563,1865
0,10
17,15
2,11
0,13
0,6
200,1019
24,32
48,181
0,8
0,19
16,43
0,6
0,7
5,24
0,29
0,11
2,8
1035,4652
0,9
1,7
4,100
14,114
0,9
9,35
1,27
271,700
8,103
0,7
1,8
3,9
101,497
432,1798
0,41
0,13
0,16
22,170
3,18
136,742
659,2910
2,24
0,8
5,13
43,106
17,179
11,40
4,17
1,23
0,21
0,30
0,7
1,27
1224,4780
1,13
46,190
6,18
28,68
1844,6335
2,16
5,6
0,9
0,14
3,10
1,9
871,3536
196,897
160,442
0,8
30,10
15,35
0,13
2,21
8,11
0,11
0,9
0,8
13,34
159,1154
0,8
3,25
0,8
858,4127
55,251
0,11
3,22
0,6
87,555
15,6
0,8
10,55
0,11
74,321
6,6
0,6
209,655
6,58
3,8
1,8
0,6
0,6
0,11
77,264
111,663
2,8
0,6
6,8
0,7
5,12
713,3361
0,17
46,191
0,7
1,43
0,6
0,17
113,500
90,349
0,11
0,7
1459,4967
334,1487
40,27
100,506
0,27
61,103
527,2175
1,15
75,316
29,58
0,6
0,10
23,47
0,11
3137,12340
1,37
0,6
0,10
10,51
0,11
2,6
0,10
0,9
0,6
2,31
9,53
12,102
15,41
30,331
0,8
0,6
140,662
1,10
11,73
45,245
7,7
11,70
2,15
0,9
15,23
0,7
2,32
1,16
8,24
0,13
4,10
148,711
25,196
1,7
523,2461
271,1228
130,584
2,16
0,19
0,11
144,716
229,821
14,17
2,17
5,22
0,6
0,12
26,195
1,10
8,44
4,14
0,27
0,8
4,19
1,17
11,67
110,432
79,644
0,9
0,14
0,45
3,10
6,16
0,22
11,167
0,10
28,17
48,141
89,241
2,6
0,6
15,92
36,125
23,92
3,17
0,18
1,7
1,11
0,8
0,9
173,1316
100,497
99,737
21,189
0,9
7,6
32,224
20,29
257,1285
103,475
6,61
0,7
258,1736
0,17
34,294
7,10
4,12
8,22
25,155
10,69
2,37
16,84
1,7
0,7
0,6
17,18
128,274
6,30
0,9
0,6
0,9
6,11
39,272
5,20
0,37
1,28
2,32
0,6
0,8
0,10
2,16
5,20
17,9
47,222
48,142
23,104
0,8
0,6
36,146
0,88
3,92
2,18
11,23
0,6
1,13
0,6
0,9
35,49
13,111
2,20
11,36
4,46
456,1347
3,16
0,8
0,8
397,1980
0,28
1,12
0,23
2,19
15,120
46,153
24,96
59,289
0,6
0,10
257,1239
2,18
17,96
77,290
1,20
3,19
26,324
3,57
24,22
6,6
46,121
76,336
0,8
0,7
1014,3914
2,16
184,512
1,10
14,86
2,28
1,7
4,7
204,833
0,17
47,187
28,68
2,24
133,358
224,878
45,140
0,6
22,85
1,45
6,19
0,9
74,552
22,76
0,52
5,10
3,37
1,14
62,446
50,301
52,385
5193,19386
18,72
0,17
3,20
1,12
1,10
17,102
0,8
0,18
20,68
0,27
7,6
2,22
0,13
164,534
9,41
0,6
2,23
50,170
6,25
3,32
1,12
0,6
7,58
0,12
83,187
0,8
5,23
9,17
6,38
82,578
11,70
0,9
3,32
0,7
291,1487
61,389
3,10
8,35
0,9
25,19
0,9
0,11
0,12
0,6
43,174
0,6
126,765
0,6
85,349
28,191
9,30
4,11
0,7
22,181
1308,5747
0,7
5,7
0,8
0,6
0,8
2,7
0,6
0,6
0,13
4,26
1,24
13,8
176,718
3,21
0,10
6,20
0,13
23,111
135,474
14,19
9,24
29,99
37,126
4,10
0,7
0,6
3,9
0,22
0,23
36,265
66,210
23,79
12,17
1,36
2,7
1,10
0,8
3,17
502,2581
2,53
10,25
0,10
99,497
6,19
78,323
0,13
13,79
39,119
0,6
0,11
0,6
0,6
0,10
2,16
0,6
0,11
0,8
2,16
0,9
0,10
2,13
130,484
44,85
5,54
0,6
127,344
101,555
358,1684
217,666
0,8
0,15
50,495
64,220
8,18
0,40
23,190
3,13
1,11
0,13
613,2754
3,16
160,650
0,6
0,31
9,14
9,33
0,8
0,11
0,8
0,11
10,67
24,214
0,7
0,7
9,17
10,45
199,843
7,37
0,11
3,20
0,11
22,77
0,7
0,7
2,19
1,7
0,6
1,10
0,6
80,338
26,107
0,8
76,227
0,7
2,15
2,10
3,10
6,25
15,49
113,543
50,59
218,622
0,10
0,48
44,80
6,48
6,39
3,8
500,1748
2,10
5,84
6,19
0,10
1772,6929
178,436
345,2945
10,75
77,393
482,1874
2,14
0,8
0,6
83,247
6,16
1061,4040
17,36
75,186
1,7
30,114
0,13
3,12
279,1066
113,215
26,23
29,191
1,54
53,162
1,7
6,6
1,11
2,7
91,526
15,83
10,47
0,6
0,6
22,225
1,54
23,39
0,8
20,90
0,30
527,2807
393,2003
3,9
204,2629
16,7
2,13
199,521
51,342
0,12
1,8
0,11
38,227
0,6
2,18
3,32
19,35
1,6
8,38
71,191
12,23
12,38
0,6
0,30
6,15
0,32
0,10
19,89
186,568
77,521
244,896
0,18
2500,11604
0,9
16,65
7,19
232,1572
27,32
14,79
0,15
0,96
1,18
4,13
0,6
23,33
40,283
107,375
628,2579
0,6
7,18
1,9
0,6
2,13
6,28
14,178
0,10
11,8
0,6
0,16
39,206
1,39
583,3146
21,178
0,12
0,9
14,16
0,7
6,34
0,10
22,78
0,9
0,9
0,7
45,84
4,26
17,65
0,14
2,30
0,8
0,6
22,123
14,71
117,494
304,1519
0,30
29,74
0,10
140,493
0,10
381,1753
16,48
6,24
0,10
1,10
846,3179
2,15
2,14
8,42
7,14
6,50
131,848
0,14
101,502
3,8
22,79
2,17
0,14
0,6
0,6
0,7
73,504
0,13
0,10
0,16
147,831
0,6
39,128
13,47
140,922
0,7
0,6
418,2011
4,6
89,319
0,6
26,56
3,35
7,11
2,29
894,4209
1,9
1,6
35,79
0,8
0,6
8,18
2,19
0,8
0,6
0,10
0,6
21,22
27,176
91,428
7,42
29,102
3,20
5,20
10,85
0,6
271,1264
0,29
1,10
0,18
12,14
3,12
5,16
271,1127
1,8
0,8
40,57
11,48
3,9
8,60
735,3014
65,429
0,8
38,106
52,309
0,11
5,13
2,8
8,35
37,252
0,63
17,85
4,18
0,21
9,139
31,158
1,9
14,70
345,1726
0,6
52,136
0,14
10,28
3,24
36,82
0,7
8,49
32,151
0,6
0,10
3,18
0,15
0,9
2,25
2,28
3,6
11,36
7,19
85,243
0,6
12,108
4,13
21,61
11,23
0,7
18,125
3,6
9,12
42,241
3,17
653,2837
16,80
0,33
7,12
29,129
39,208
12,78
2,6
0,14
0,11
124,555
1692,8196
42,77
4,28
57,333
2,28
0,10
3,13
39,93
61,140
2,6
2,15
0,6
0,7
0,7
1287,5499
4,21
3,53
8,29
101,231
0,6
8,17
0,27
578,2523
0,7
0,9
25,86
0,10
1,20
0,20
10,7
0,10
4,13
40,261
11,48
325,720
0,8
5,60
0,12
0,9
6,50
23,162
1,9
0,10
121,215
0,6
19,159
0,15
5,15
246,1348
13,59
0,21
8,19
26,14
26,14
5,36
1,10
2,17
0,7
143,642
0,9
10,29
71,332
24,35
0,9
0,22
13,14
0,7
20,47
0,11
23,71
0,8
47,94
0,15
0,8
2,21
0,6
115,554
9138,39022
0,11
0,14
1,13
53,94
4,62
0,15
4,39
12,24
27,105
0,11
1,8
99,262
2,43
0,9
3,15
33,145
6,12
532,2409
0,6
461,2595
27,154
186,722
1,14
0,10
0,23
3,9
3,8
0,9
86,490
38,125
153,447
1,8
10,28
0,10
0,9
12,16
7,18
18,24
2,14
0,7
30,186
1,6
0,6
25,186
3,8
1,7
13,72
67,359
83,276
5,53
2,20
7,15
0,37
10,12
3,8
11,23
1,10
0,7
531,2426
0,15
2,8
21,105
6,31
25,183
4,24
9,104
0,6
14,84
0,42
0,8
527,2534
4,8
0,15
1,40
29,18
13,96
1,12
0,15
106,298
0,6
135,182
4,15
0,11
11,100
731,2386
0,12
3,6
0,6
2,15
17,59
0,6
0,47
20,19
9,107
0,27
0,6
25,52
43,238
34,128
0,9
4,14
2,37
26,143
5,37
0,8
104,450
1,17
0,14
40,160
3,13
62,272
0,12
39,137
31,183
5,27
16,84
2,19
4,31
1,9
8,14
53,130
124,568
2,30
2,13
12,45
22,51
23,115
3,7
0,18
13,141
64,333
1154,5185
5,25
16,118
16,59
2,6
0,22
159,907
89,134
36,366
32,305
0,6
1,6
3,10
0,9
7,46
19,125
3,28
0,6
0,6
86,308
70,252
0,9
6,6
24,81
10,19
6,47
10,18
57,188
1,8
38,106
0,19
20,88
13,42
0,9
14,83
4,7
4,34
2,21
5,43
52,357
0,19
4,29
18,126
40,164
2,15
26,101
39,265
0,6
0,6
0,6
16,98
22,121
1,12
13,15
1,8
0,10
1,8
28,17
46,146
0,6
0,7
2,21
12,70
43,120
20,119
228,1175
97,354
21,111
7,25
0,9
2,23
8,74
2,9
58,188
2,20
0,6
9,39
750,3554
98,424
11,36
3,13
4,31
98,464
0,13
156,736
0,8
13,61
665,2903
0,7
1,6
0,9
59,264
4,9
9,107
0,9
1,17
0,6
17,17
1288,1889
4,24
1279,4807
1,33
234,1096
164,470
17,47
202,743
23,65
0,10
0,9
10,49
0,6
0,13
3,21
5,69
34,229
0,6
19,35
1,7
33,213
15,28
9,52
3,11
0,6
0,11
7,45
1907,8029
59,163
0,8
9,24
2,9
100,688
1,6
0,7
60,159
1,7
37,215
41,73
3,14
3,10
86,451
16,14
0,6
1,13
95,287
0,7
9,10
22,24
1,6
0,6
2,25
0,8
369,1634
0,27
0,6
7,31
54,109
1188,4720
15,112
409,1779
6,23
0,12
0,8
0,15
0,6
0,9
18,124
0,8
0,9
21,38
0,7
0,12
0,18
2,24
0,12
329,1546
5,10
13,104
1,8
5,20
33,139
6,18
8,15
7,54
1,12
2,15
0,16
0,7
0,7
2,33
4,6
0,26
33,137
15,31
6,21
1,11
2,6
1,6
3,8
0,13
16,6
1149,5123
12,42
78,621
0,7
0,14
0,6
523,2025
69,398
0,15
11,31
5,29
1,9
1,7
212,582
0,6
1,6
0,6
0,23
0,6
19,114
0,8
2,8
38,192
6,7
211,696
0,15
0,7
13,70
0,6
2,20
57,444
177,608
0,6
2,7
41,134
0,17
0,6
75,468
0,10
345,1492
0,7
0,17
63,217
124,337
52,413
0,10
4,7
309,1550
1,6
4,9
0,7
0,9
57,182
9,15
0,10
0,6
5,66
1,11
4,78
15,22
407,1639
6,82
1,10
18,47
210,955
2,9
0,9
4,8
160,549
2,10
0,12
0,9
0,10
17,192
2,12
22,181
10,15
444,2112
1,7
0,6
6,9
51,181
14,48
10,6
7,64
1,7
7,15
16,105
14,17
0,12
0,6
0,6
0,9
97,544
97,319
0,17
2,10
6662,28183
16,18
1,10
74,101
352,1233
0,6
2,18
28,21
26,59
6,27
0,8
302,1393
0,53
0,6
91,302
0,6
0,6
53,201
2,19
44,303
0,10
0,9
0,8
8,6
7,17
0,6
19,52
0,14
74,125
0,17
0,11
310,1244
1,50
8,61
0,17
2,20
56,213
0,8
0,8
426,1591
0,31
7,24
3,63
0,21
6,38
6,14
18,106
0,6
0,8
14,36
0,7
37,202
0,11
49,109
0,6
2,7
13,77
48,244
2,36
15,9
51,219
551,2712
1,6
42,242
0,15
41,270
0,8
4,8
0,6
0,19
0,8
7,19
0,7
71,387
159,692
22,115
1,13
6,31
0,6
68,261
20,148
0,19
7,10
0,12
0,6
5,35
19,30
97,558
1,10
0,10
3,24
2,12
6,44
0,10
243,1058
8,23
0,8
38,69
2,8
11,32
7,7
0,30
868,2893
0,6
0,7
3,15
0,8
0,7
13,34
0,14
0,6
1,53
1,8
0,22
2,68
0,7
0,30
95,485
11,10
0,10
4,35
456,2038
148,544
526,3518
4,53
4,11
9,25
77,286
0,10
0,8
0,14
1,7
3,36
0,15
11,26
0,10
56,103
20,103
0,9
5,42
5,38
1,12
1,6
27,148
4,7
16,25
2,13
4,19
5,15
4,20
4,10
1,15
30,256
435,1557
100,577
124,356
49,341
6,13
556,3056
99,470
15,79
1,15
32,59
34,121
0,7
1,7
0,7
1248,6083
9,60
9,46
0,7
5,13
12,18
29,194
0,6
5,10
11,27
6,46
103,335
0,24
352,1733
1,10
42,353
45,317
11,124
5,7
0,6
32,324
14,6
76,422
16,56
3,10
0,6
5,6
0,7
0,9
0,8
26,89
0,6
24,108
1,6
0,11
15,48
19,78
2,17
38,267
0,6
0,8
15,84
7,37
40,238
17,14
0,18
0,6
375,1545
4,23
247,658
5,9
0,24
0,9
35,60
637,2851
7,17
21,77
15,52
552,2220
4,34
160,232
0,6
43,359
0,7
8,97
1,7
0,13
72,231
0,12
2,11
0,6
3,76
6,21
3,11
1,9
113,434
0,6
20,104
18,93
0,13
49,311
0,6
2,8
2,7
20,20
0,6
73,388
11,22
1,7
56,256
2,7
505,2002
245,1171
51,216
147,481
0,14
5,35
1104,5833
0,10
14,12
5,21
0,7
5,10
6,10
2062,8898
8,94
12,36
6,10
1,11
0,6
0,6
0,9
11,153
0,12
25,78
0,6
34,36
2,8
0,6
180,873
9,28
22,42
66,455
3,18
0,7
2,7
33,128
13,12
8,57
0,15
0,8
78,358
14,18
2,73
588,2897
7,22
4,9
0,9
23,79
0,7
5,46
4,7
1,22
209,917
3,19
2,6
9,61
0,6
4,20
23,218
0,12
38,90
0,15
1,6
0,6
1,34
0,9
0,19
2,9
